model,num_rows,num_cols,acc,std
SVC,2,-3,0.48502994011976047,0.015796403734275904
SVC,6,-3,0.501996007984032,0.015803362606813944
SVC,10,-3,0.4820359281437126,0.015793285416849913
LR,2,-3,0.48602794411177647,0.01579731706423051
LR,6,-3,0.49001996007984033,0.015800340124666207
LR,10,-3,0.47904191616766467,0.015789599338640676
CatBoost,2,-3,0.5059880239520959,0.015802355176998434
CatBoost,6,-3,0.49800399201596807,0.015803362606813944
CatBoost,10,-3,0.48003992015968067,0.015790891139191552
R_Forest,2,-3,0.49500998003992014,0.015802701488241543
R_Forest,6,-3,0.48403193612774453,0.015795427357648825
R_Forest,10,-3,0.47604790419161674,0.015785345101910177
KNN,2,-3,0.47005988023952094,0.015775130252845267
KNN,6,-3,0.4870259481037924,0.015798167358447277
KNN,10,-3,0.47704590818363274,0.01578682633663596
STUNT,2,-3,0.48602794411177647,0.01579731706423051
STUNT,6,-3,0.49600798403193613,0.01580298482815926
STUNT,10,-3,0.4720558882235529,0.01577878818099048
TabNet,2,-3,0.47305389221556887,0.015780522247152564
TabNet,6,-3,0.49001996007984033,0.015800340124666207
TabNet,10,-3,0.48502994011976047,0.015796403734275904
FTTransformer,2,-3,0.4560878243512974,0.015742423477116373
FTTransformer,6,-3,0.49500998003992014,0.015802701488241543
FTTransformer,10,-3,0.47105788423153694,0.01577699085676196
