model,num_rows,num_cols,acc,std
SVC,2,-3,0.5828343313373253,0.015585107570174941
SVC,6,-3,0.6107784431137725,0.015410731517205577
SVC,10,-3,0.6347305389221557,0.01521893773612106
LR,2,-3,0.5808383233532934,0.015595574485535777
LR,6,-3,0.5988023952095808,0.015491871694932074
LR,10,-3,0.6477045908183633,0.01509819189349265
CatBoost,2,-3,0.6017964071856288,0.015472494737136185
CatBoost,6,-3,0.7265469061876247,0.014088222786268681
CatBoost,10,-3,0.8712574850299402,0.010585642351093227
R_Forest,2,-3,0.5948103792415169,0.015516772272812202
R_Forest,6,-3,0.6586826347305389,0.014986501466612066
R_Forest,10,-3,0.7844311377245509,0.012997307332475552
KNN,2,-3,0.5858283433133733,0.01556891468213832
KNN,6,-3,0.5818363273453094,0.015590373817547177
KNN,10,-3,0.6077844311377245,0.015431927035606568
STUNT,2,-3,0.5778443113772455,0.015610783664492403
STUNT,6,-3,0.5848303393213573,0.01557437807035469
STUNT,10,-3,0.6317365269461078,0.015245100012587115
TabNet,2,-3,0.5099800399201597,0.015800340124666207
TabNet,6,-3,0.5189620758483033,0.015792119827017913
TabNet,10,-3,0.5538922155688623,0.015711421970043275
FTTransformer,2,-3,0.5788423153692615,0.015605779344789406
FTTransformer,6,-3,0.6127744510978044,0.015396261828810513
FTTransformer,10,-3,0.6966067864271457,0.01453047270029082
TabPFN,2,-3,0.6027944111776448,0.015465901684535745
TabPFN,6,-3,0.6007984031936128,0.01547902070002447
TabPFN,10,-3,0.6487025948103793,0.015088402116136818
