Model,num_rows,num_cols,acc,std
LR,10,-3,0.543,0.0157606915901365
CatBoost,10,-3,0.561,0.01570113134540074
R_Forest,10,-3,0.56,0.015704987954361718
KNN,10,-3,0.555,0.015723301886761007
FTTransformer,10,-3,0.58,0.015615500115072966
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.656,0.015029633724408917
CatBoost,10,-3,5,0.645,0.015139491543780595
R_Forest,10,-3,5,0.652,0.015070604603768327
KNN,10,-3,5,0.543,0.0157606915901365
FTTransformer,10,-3,5,0.64,0.015186527932039985
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.59,0.015560917136921657
CatBoost,10,-3,3,0.614,0.015402637476784335
R_Forest,10,-3,3,0.608,0.015445859463771338
KNN,10,-3,3,0.563,0.015693223928730425
FTTransformer,10,-3,3,0.615,0.015395194445410947
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.542,0.015763390640483554
CatBoost,10,-3,1,0.551,0.015736792768752048
R_Forest,10,-3,1,0.553,0.0157301760460091
KNN,10,-3,1,0.564,0.015689173023144022
FTTransformer,10,-3,1,0.559,0.015708779894242766
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.63,0.015275252316519465
CatBoost,10,-3,4,0.625,0.015316971293620996
R_Forest,10,-3,4,0.624,0.015325105508898101
KNN,10,-3,4,0.539,0.015771104201283047
FTTransformer,10,-3,4,0.626,0.015308767369006507
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.543,0.0157606915901365
CatBoost,10,-3,2,0.561,0.01570113134540074
R_Forest,10,-3,2,0.56,0.015704987954361718
KNN,10,-3,2,0.555,0.015723301886761007
FTTransformer,10,-3,2,0.58,0.015615500115072966
