Model,num_rows,num_cols,acc,std
LR,10,-3,0.731,0.014029819522568201
CatBoost,10,-3,0.632,0.015258073561521743
R_Forest,10,-3,0.579,0.015620595475301285
KNN,10,-3,0.798,0.01270265158765513
FTTransformer,10,-3,0.76,0.013512312258920845
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.918,0.00868051561552373
CatBoost,10,-3,5,0.725,0.014127086556490498
R_Forest,10,-3,5,0.829,0.011912216456264588
KNN,10,-3,5,0.853,0.011203415395160378
FTTransformer,10,-3,5,0.811,0.01238678458811779
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.862,0.010912152632504508
CatBoost,10,-3,3,0.713,0.014312087053810001
R_Forest,10,-3,3,0.702,0.014470846741134585
KNN,10,-3,3,0.832,0.01182860583145435
FTTransformer,10,-3,3,0.804,0.012559527926707347
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.526,0.015797897758042797
CatBoost,10,-3,1,0.524,0.015801065586651862
R_Forest,10,-3,1,0.501,0.015819268290576817
KNN,10,-3,1,0.686,0.014683991951088085
FTTransformer,10,-3,1,0.641,0.015177264224798528
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.927,0.008230354715243976
CatBoost,10,-3,4,0.783,0.013041513757270706
R_Forest,10,-3,4,0.818,0.012207580637662196
KNN,10,-3,4,0.879,0.010318210380946179
FTTransformer,10,-3,4,0.846,0.011419913065098805
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.731,0.014029819522568201
CatBoost,10,-3,2,0.632,0.015258073561521743
R_Forest,10,-3,2,0.579,0.015620595475301285
KNN,10,-3,2,0.798,0.01270265158765513
FTTransformer,10,-3,2,0.76,0.013512312258920845
