Model,num_rows,num_cols,acc,std
LR,10,-3,0.639,0.015195720118175049
CatBoost,10,-3,0.672,0.014853842487270312
R_Forest,10,-3,0.623,0.015333170125779802
KNN,10,-3,0.643,0.015158521721486589
FTTransformer,10,-3,0.68,0.014758652303574937
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.744,0.013807775152234145
CatBoost,10,-3,5,0.722,0.014174516461485273
R_Forest,10,-3,5,0.711,0.014341711358296287
KNN,10,-3,5,0.68,0.014758652303574937
FTTransformer,10,-3,5,0.732,0.014013292702729519
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.703,0.01445683229480096
CatBoost,10,-3,3,0.716,0.014267009061031241
R_Forest,10,-3,3,0.689,0.01464559638572269
KNN,10,-3,3,0.697,0.014539683710535193
FTTransformer,10,-3,3,0.725,0.0141270865564905
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.529,0.015792669451628764
CatBoost,10,-3,1,0.533,0.015784807891138876
R_Forest,10,-3,1,0.504,0.015818793703510844
KNN,10,-3,1,0.569,0.01566794448817344
FTTransformer,10,-3,1,0.598,0.015512467135714959
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.741,0.013860415257527861
CatBoost,10,-3,4,0.737,0.013929286594259776
R_Forest,10,-3,4,0.714,0.014297146862518003
KNN,10,-3,4,0.679,0.014770821817934751
FTTransformer,10,-3,4,0.745,0.013790038620872863
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.639,0.015195720118175049
CatBoost,10,-3,2,0.672,0.014853842487270312
R_Forest,10,-3,2,0.623,0.015333170125779802
KNN,10,-3,2,0.643,0.015158521721486589
FTTransformer,10,-3,2,0.68,0.014758652303574937
