<<<<<<< HEAD
Model,num_rows,num_cols,acc,std
LR,1,-3,0.474,0.0157978977580428
LR,2,-3,0.627,0.015300493622922927
LR,3,-3,0.583,0.015599819048769581
LR,6,-3,0.679,0.014770821817934751
CatBoost,1,-3,0.474,0.0157978977580428
CatBoost,2,-3,0.617,0.015380102325652699
CatBoost,3,-3,0.608,0.015445859463771338
CatBoost,6,-3,0.689,0.014645596385722692
R_Forest,1,-3,0.474,0.0157978977580428
R_Forest,2,-3,0.616,0.01538768276189696
R_Forest,3,-3,0.566,0.01568087656637504
R_Forest,6,-3,0.665,0.014933117490932629
KNN,1,-3,0.474,0.0157978977580428
KNN,2,-3,0.635,0.015231776226264848
KNN,3,-3,0.612,0.015417317979911216
KNN,6,-3,0.665,0.014933117490932627
TabNet,1,-3,0.474,0.0157978977580428
TabNet,2,-3,0.518,0.01580904569940659
TabNet,3,-3,0.542,0.015763390640483554
TabNet,6,-3,0.599,0.01550610974549837
FTTransformer,1,-3,0.474,0.0157978977580428
FTTransformer,2,-3,0.647,0.015120172605483696
FTTransformer,3,-3,0.614,0.015402637476784335
FTTransformer,6,-3,0.707,0.014399942998441292
LR,5,-3,0.642,0.015167928865407633
LR,10,-3,0.754,0.01362606581775054
LR,15,-3,0.792,0.01284137457209706
CatBoost,5,-3,0.608,0.015445859463771338
CatBoost,10,-3,0.725,0.0141270865564905
CatBoost,15,-3,0.776,0.013190830072364589
R_Forest,5,-3,0.606,0.015459721957493382
R_Forest,10,-3,0.723,0.014158794845306273
R_Forest,15,-3,0.768,0.013354937452281624
KNN,5,-3,0.623,0.0153331701257798
KNN,10,-3,0.71,0.014356395999905621
KNN,15,-3,0.732,0.014013292702729519
TabNet,5,-3,0.577,0.015630589090476255
TabNet,10,-3,0.637,0.015213890444671358
TabNet,15,-3,0.703,0.01445683229480096
FTTransformer,5,-3,0.642,0.015167928865407633
FTTransformer,10,-3,0.738,0.013912208651021213
FTTransformer,15,-3,0.774,0.013232501619085452
=======
CatBoost,10,-3,0.734,0.013979965645145177
CatBoost,15,-3,0.781,0.013084731950262114
CatBoost,3,-3,0.594,0.015537226438634581
CatBoost,5,-3,0.618,0.015372453034968502
FTTransformer,10,-3,0.738,0.013912208651021213
FTTransformer,15,-3,0.774,0.013232501619085452
FTTransformer,3,-3,0.618,0.015372453034968502
FTTransformer,5,-3,0.642,0.015167928865407633
KNN,10,-3,0.71,0.014356395999905621
KNN,15,-3,0.732,0.014013292702729519
KNN,3,-3,0.612,0.015417317979911216
KNN,5,-3,0.623,0.0153331701257798
LR,10,-3,0.754,0.01362606581775054
LR,15,-3,0.792,0.01284137457209706
LR,3,-3,0.583,0.015599819048769581
LR,5,-3,0.642,0.015167928865407633
Model,num_rows,num_cols,acc,std
R_Forest,10,-3,0.75,0.013699915608779773
R_Forest,15,-3,0.778,0.013148721948877349
R_Forest,3,-3,0.562,0.015697210019694662
R_Forest,5,-3,0.605,0.015466551464829328
STUNT,10,-3,0.762,0.013473586661967091
STUNT,15,-3,0.774,0.013232501619085452
STUNT,3,-3,0.621,0.015349091002225333
STUNT,5,-3,0.653,0.015060472031706637
SVC,10,-3,0.729,0.014062601350986123
SVC,15,-3,0.755,0.01360735683959821
SVC,3,-3,0.583,0.015599819048769583
SVC,5,-3,0.625,0.015316971293620996
TabNet,10,-3,0.637,0.015213890444671358
TabNet,15,-3,0.703,0.01445683229480096
TabNet,3,-3,0.542,0.015763390640483554
TabNet,5,-3,0.577,0.015630589090476255
>>>>>>> max_tests
