Model,num_rows,num_cols,acc,std
LR,5,-3,0.586,0.01558354410417755
LR,10,-3,0.676,0.014806864733738986
LR,15,-3,0.682,0.014734079309311905
CatBoost,5,-3,0.554,0.015726771166750392
CatBoost,10,-3,0.629,0.015283736211823095
CatBoost,15,-3,0.652,0.015070604603768327
R_Forest,5,-3,0.546,0.01575221038877186
R_Forest,10,-3,0.632,0.015258073561521743
R_Forest,15,-3,0.636,0.015222868840522005
KNN,5,-3,0.617,0.015380102325652699
KNN,10,-3,0.652,0.015070604603768327
KNN,15,-3,0.678,0.014782913600996744
TabNet,5,-3,0.514,0.01581309754773093
TabNet,10,-3,0.568,0.01567232023733632
TabNet,15,-3,0.509,0.015816736995005295
FTTransformer,5,-3,0.592,0.015549205052920803
FTTransformer,10,-3,0.654,0.01505026612756434
FTTransformer,15,-3,0.643,0.01515852172148659
