Model,num_rows,num_cols,acc,std
LR,5,-3,0.48,0.015806639423035177
LR,10,-3,0.524,0.015801065586651862
LR,15,-3,0.483,0.015810153729833274
CatBoost,5,-3,0.477,0.015802554246726087
CatBoost,10,-3,0.504,0.015818793703510844
CatBoost,15,-3,0.5,0.015819299929208316
R_Forest,5,-3,0.493,0.01581774956184353
R_Forest,10,-3,0.51,0.015816135752773183
R_Forest,15,-3,0.49,0.015816135752773183
KNN,5,-3,0.487,0.01581395210189664
KNN,10,-3,0.496,0.015818793703510844
KNN,15,-3,0.504,0.015818793703510844
TabNet,5,-3,0.494,0.015818160898606833
TabNet,10,-3,0.507,0.01581774956184353
TabNet,15,-3,0.503,0.015819015179246818
FTTransformer,5,-3,0.478,0.01580397942816194
FTTransformer,10,-3,0.51,0.015816135752773183
FTTransformer,15,-3,0.489,0.015815471195292575
LR,3,-3,0.508,0.015817274929209084
CatBoost,3,-3,0.516,0.015811198373114985
R_Forest,3,-3,0.509,0.015816736995005295
KNN,3,-3,0.502,0.01581917337430266
TabNet,3,-3,0.5,0.015819299929208316
FTTransformer,3,-3,0.507,0.01581774956184353
