Model,num_rows,num_cols,acc,std
LR,10,-3,0.583,0.015599819048769583
CatBoost,10,-3,0.577,0.015630589090476255
R_Forest,10,-3,0.548,0.01574623586588058
KNN,10,-3,0.623,0.015333170125779802
FTTransformer,10,-3,0.615,0.015395194445410945
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.697,0.014539683710535193
CatBoost,10,-3,5,0.638,0.015204840912919385
R_Forest,10,-3,5,0.684,0.014709193056057166
KNN,10,-3,5,0.675,0.014818724459095479
FTTransformer,10,-3,5,0.672,0.014853842487270312
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.62,0.015356947477797658
CatBoost,10,-3,3,0.612,0.015417317979911218
R_Forest,10,-3,3,0.6,0.015499685165842573
KNN,10,-3,3,0.646,0.015129868238451812
FTTransformer,10,-3,3,0.633,0.015249378464171697
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.526,0.015797897758042797
CatBoost,10,-3,1,0.538,0.015773547629015002
R_Forest,10,-3,1,0.522,0.01580397942816194
KNN,10,-3,1,0.581,0.015610338967577953
FTTransformer,10,-3,1,0.552,0.01573351656634789
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.679,0.014770821817934751
CatBoost,10,-3,4,0.602,0.015486634102859014
R_Forest,10,-3,4,0.638,0.015204840912919385
KNN,10,-3,4,0.676,0.014806864733738986
FTTransformer,10,-3,4,0.683,0.014721675438880175
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.583,0.015599819048769583
CatBoost,10,-3,2,0.577,0.015630589090476255
R_Forest,10,-3,2,0.548,0.01574623586588058
KNN,10,-3,2,0.623,0.015333170125779802
FTTransformer,10,-3,2,0.615,0.015395194445410945
