Model,num_rows,num_cols,acc,std
LR,10,-3,0.53,0.015790799515836722
CatBoost,10,-3,0.532,0.015786868759359005
R_Forest,10,-3,0.509,0.015816736995005295
KNN,10,-3,0.56,0.015704987954361718
FTTransformer,10,-3,0.526,0.015797897758042797
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.566,0.01568087656637504
CatBoost,10,-3,5,0.591,0.015555094373257946
R_Forest,10,-3,5,0.573,0.01564978964446219
KNN,10,-3,5,0.581,0.015610338967577953
FTTransformer,10,-3,5,0.569,0.01566794448817344
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.556,0.01571976816340213
CatBoost,10,-3,3,0.579,0.015620595475301285
R_Forest,10,-3,3,0.57,0.01566350361015521
KNN,10,-3,3,0.573,0.01564978964446219
FTTransformer,10,-3,3,0.585,0.015589035185604594
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.504,0.015818793703510844
CatBoost,10,-3,1,0.497,0.015819015179246818
R_Forest,10,-3,1,0.493,0.01581774956184353
KNN,10,-3,1,0.527,0.01579621855130273
FTTransformer,10,-3,1,0.499,0.015819268290576817
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.554,0.015726771166750392
CatBoost,10,-3,4,0.589,0.015566673418599151
R_Forest,10,-3,4,0.58,0.015615500115072968
KNN,10,-3,4,0.585,0.015589035185604594
FTTransformer,10,-3,4,0.571,0.01565899754787018
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.53,0.015790799515836722
CatBoost,10,-3,2,0.532,0.015786868759359005
R_Forest,10,-3,2,0.509,0.015816736995005295
KNN,10,-3,2,0.56,0.015704987954361718
FTTransformer,10,-3,2,0.526,0.015797897758042797
