Model,num_rows,num_cols,acc,std
LR,10,-3,0.504,0.015818793703510844
CatBoost,10,-3,0.506,0.015818160898606833
R_Forest,10,-3,0.503,0.015819015179246818
KNN,10,-3,0.505,0.01581850894443674
FTTransformer,10,-3,0.512,0.01581474331458169
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.544,0.01575792855397918
CatBoost,10,-3,5,0.528,0.015794475789511517
R_Forest,10,-3,5,0.554,0.01572677116675039
KNN,10,-3,5,0.5,0.015819299929208316
FTTransformer,10,-3,5,0.563,0.015693223928730425
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.554,0.015726771166750392
CatBoost,10,-3,3,0.564,0.015689173023144022
R_Forest,10,-3,3,0.542,0.015763390640483554
KNN,10,-3,3,0.549,0.015743152379585443
FTTransformer,10,-3,3,0.535,0.015780495050030086
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.489,0.015815471195292575
CatBoost,10,-3,1,0.482,0.01580904569940659
R_Forest,10,-3,1,0.485,0.01581217964181488
KNN,10,-3,1,0.531,0.015788865959538965
FTTransformer,10,-3,1,0.484,0.015811198373114985
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.565,0.015685057252717346
CatBoost,10,-3,4,0.571,0.01565899754787018
R_Forest,10,-3,4,0.551,0.015736792768752048
KNN,10,-3,4,0.552,0.01573351656634789
FTTransformer,10,-3,4,0.574,0.015645087688113762
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.504,0.015818793703510844
CatBoost,10,-3,2,0.506,0.015818160898606833
R_Forest,10,-3,2,0.503,0.015819015179246818
KNN,10,-3,2,0.505,0.01581850894443674
FTTransformer,10,-3,2,0.512,0.01581474331458169
