Model,num_rows,num_cols,acc,std
LR,10,-3,0.545,0.015755101498347232
CatBoost,10,-3,0.544,0.01575792855397918
R_Forest,10,-3,0.54,0.0157685969143944
KNN,10,-3,0.547,0.015749255189977687
FTTransformer,10,-3,0.551,0.015736792768752048
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.597,0.015518757419066513
CatBoost,10,-3,5,0.625,0.015316971293620996
R_Forest,10,-3,5,0.622,0.015341165254026547
KNN,10,-3,5,0.57,0.01566350361015521
FTTransformer,10,-3,5,0.604,0.015473313265859497
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.601,0.015493193313163008
CatBoost,10,-3,3,0.621,0.015349091002225332
R_Forest,10,-3,3,0.589,0.015566673418599151
KNN,10,-3,3,0.583,0.015599819048769583
FTTransformer,10,-3,3,0.581,0.015610338967577953
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.505,0.015818508944436743
CatBoost,10,-3,1,0.509,0.0158167369950053
R_Forest,10,-3,1,0.505,0.015818508944436743
KNN,10,-3,1,0.54,0.0157685969143944
FTTransformer,10,-3,1,0.527,0.01579621855130273
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.602,0.015486634102859014
CatBoost,10,-3,4,0.647,0.015120172605483696
R_Forest,10,-3,4,0.612,0.015417317979911216
KNN,10,-3,4,0.581,0.015610338967577953
FTTransformer,10,-3,4,0.605,0.015466551464829328
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.545,0.015755101498347232
CatBoost,10,-3,2,0.544,0.01575792855397918
R_Forest,10,-3,2,0.54,0.0157685969143944
KNN,10,-3,2,0.547,0.015749255189977687
FTTransformer,10,-3,2,0.551,0.015736792768752048
