Model,num_rows,num_cols,acc,std
LR,10,-3,0.912,0.008963053962592012
CatBoost,10,-3,0.913,0.008916866630745946
R_Forest,10,-3,0.898,0.009575368801653944
KNN,10,-3,0.908,0.009144376393151129
FTTransformer,10,-3,0.929,0.008125578442487957
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.944,0.007274401481697098
CatBoost,10,-3,5,0.926,0.0082820645127041
R_Forest,10,-3,5,0.937,0.007687007876286461
KNN,10,-3,5,0.926,0.0082820645127041
FTTransformer,10,-3,5,0.936,0.007743640226919377
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.934,0.007855297938697534
CatBoost,10,-3,3,0.921,0.008534156773333369
R_Forest,10,-3,3,0.933,0.007910345983177573
KNN,10,-3,3,0.918,0.00868051561552373
FTTransformer,10,-3,3,0.934,0.007855297938697534
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.799,0.012679107214617274
CatBoost,10,-3,1,0.809,0.012436787112179482
R_Forest,10,-3,1,0.738,0.013912208651021213
KNN,10,-3,1,0.862,0.010912152632504508
FTTransformer,10,-3,1,0.902,0.009406619184621245
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.938,0.0076298239962802675
CatBoost,10,-3,4,0.928,0.008178195576218687
R_Forest,10,-3,4,0.942,0.007395315455792991
KNN,10,-3,4,0.932,0.007964887911291622
FTTransformer,10,-3,4,0.936,0.007743640226919377
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.912,0.008963053962592012
CatBoost,10,-3,2,0.913,0.008916866630745946
R_Forest,10,-3,2,0.898,0.009575368801653944
KNN,10,-3,2,0.908,0.009144376393151129
FTTransformer,10,-3,2,0.929,0.008125578442487957
