Model,num_rows,num_cols,acc,std
LR,10,-3,0.542,0.015763390640483554
CatBoost,10,-3,0.539,0.015771104201283043
R_Forest,10,-3,0.54,0.0157685969143944
KNN,10,-3,0.555,0.015723301886761007
FTTransformer,10,-3,0.548,0.01574623586588058
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.579,0.015620595475301285
CatBoost,10,-3,5,0.587,0.015577986829936457
R_Forest,10,-3,5,0.571,0.01565899754787018
KNN,10,-3,5,0.574,0.015645087688113762
FTTransformer,10,-3,5,0.582,0.015605111967541904
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.549,0.015743152379585443
CatBoost,10,-3,3,0.539,0.015771104201283043
R_Forest,10,-3,3,0.552,0.01573351656634789
KNN,10,-3,3,0.569,0.01566794448817344
FTTransformer,10,-3,3,0.531,0.015788865959538965
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.534,0.015782683329937694
CatBoost,10,-3,1,0.546,0.01575221038877186
R_Forest,10,-3,1,0.539,0.015771104201283043
KNN,10,-3,1,0.542,0.015763390640483554
FTTransformer,10,-3,1,0.541,0.015766025737882314
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.568,0.01567232023733632
CatBoost,10,-3,4,0.577,0.015630589090476255
R_Forest,10,-3,4,0.579,0.015620595475301285
KNN,10,-3,4,0.542,0.015763390640483554
FTTransformer,10,-3,4,0.565,0.015685057252717346
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.542,0.015763390640483554
CatBoost,10,-3,2,0.539,0.015771104201283043
R_Forest,10,-3,2,0.54,0.0157685969143944
KNN,10,-3,2,0.555,0.015723301886761007
FTTransformer,10,-3,2,0.548,0.01574623586588058
