Model,num_rows,num_cols,acc,std
LR,10,-3,0.642,0.015167928865407633
CatBoost,10,-3,0.655,0.015039986742055369
R_Forest,10,-3,0.6,0.015499685165842571
KNN,10,-3,0.704,0.014442734941575042
FTTransformer,10,-3,0.652,0.015070604603768327
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.752,0.01366318713487752
CatBoost,10,-3,5,0.702,0.014470846741134585
R_Forest,10,-3,5,0.733,0.013996674851796299
KNN,10,-3,5,0.725,0.0141270865564905
FTTransformer,10,-3,5,0.734,0.013979965645145177
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.714,0.014297146862518003
CatBoost,10,-3,3,0.717,0.01425181090648182
R_Forest,10,-3,3,0.681,0.014746404865473359
KNN,10,-3,3,0.736,0.01394627184944057
FTTransformer,10,-3,3,0.703,0.01445683229480096
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.556,0.01571976816340213
CatBoost,10,-3,1,0.558,0.015712507211864152
R_Forest,10,-3,1,0.535,0.015780495050030086
KNN,10,-3,1,0.611,0.01542455564730851
FTTransformer,10,-3,1,0.56,0.015704987954361718
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.741,0.013860415257527861
CatBoost,10,-3,4,0.723,0.014158794845306272
R_Forest,10,-3,4,0.717,0.01425181090648182
KNN,10,-3,4,0.752,0.013663187134877524
FTTransformer,10,-3,4,0.723,0.014158794845306272
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.642,0.015167928865407633
CatBoost,10,-3,2,0.655,0.015039986742055369
R_Forest,10,-3,2,0.6,0.015499685165842571
KNN,10,-3,2,0.704,0.014442734941575042
FTTransformer,10,-3,2,0.652,0.015070604603768327
