Model,num_rows,num_cols,acc,std
LR,10,-3,0.708,0.014385511563477433
CatBoost,10,-3,0.695,0.014566646394664325
R_Forest,10,-3,0.656,0.015029633724408919
KNN,10,-3,0.759,0.01353152253451555
FTTransformer,10,-3,0.737,0.013929286594259776
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.862,0.010912152632504508
CatBoost,10,-3,5,0.82,0.012155153135512022
R_Forest,10,-3,5,0.837,0.011686212712746913
KNN,10,-3,5,0.856,0.011107987548939158
FTTransformer,10,-3,5,0.816,0.01225945734093864
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.81,0.012411851354816254
CatBoost,10,-3,3,0.767,0.013374972519219989
R_Forest,10,-3,3,0.763,0.013454070462577935
KNN,10,-3,3,0.792,0.01284137457209706
FTTransformer,10,-3,3,0.771,0.013294199326613682
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.573,0.01564978964446219
CatBoost,10,-3,1,0.577,0.015630589090476255
R_Forest,10,-3,1,0.537,0.015775927227262426
KNN,10,-3,1,0.689,0.01464559638572269
FTTransformer,10,-3,1,0.649,0.015100563798316506
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.82,0.012155153135512022
CatBoost,10,-3,4,0.817,0.012233587399477745
R_Forest,10,-3,4,0.826,0.011994493230973447
KNN,10,-3,4,0.813,0.012336254828074164
FTTransformer,10,-3,4,0.806,0.012510816141264348
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.708,0.014385511563477433
CatBoost,10,-3,2,0.695,0.014566646394664325
R_Forest,10,-3,2,0.656,0.015029633724408919
KNN,10,-3,2,0.759,0.01353152253451555
FTTransformer,10,-3,2,0.737,0.013929286594259776
