Model,num_rows,num_cols,acc,std
LR,10,-3,0.525,0.01579951342999602
CatBoost,10,-3,0.576,0.015635487471405182
R_Forest,10,-3,0.567,0.015676630912181255
KNN,10,-3,0.564,0.015689173023144022
FTTransformer,10,-3,0.578,0.015625625112620622
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.63,0.015275252316519466
CatBoost,10,-3,5,0.637,0.015213890444671358
R_Forest,10,-3,5,0.629,0.015283736211823093
KNN,10,-3,5,0.612,0.015417317979911216
FTTransformer,10,-3,5,0.658,0.015008706182121804
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.573,0.01564978964446219
CatBoost,10,-3,3,0.59,0.015560917136921657
R_Forest,10,-3,3,0.591,0.015555094373257944
KNN,10,-3,3,0.582,0.015605111967541902
FTTransformer,10,-3,3,0.627,0.015300493622922927
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.497,0.015819015179246818
CatBoost,10,-3,1,0.542,0.015763390640483554
R_Forest,10,-3,1,0.517,0.015810153729833274
KNN,10,-3,1,0.537,0.015775927227262426
FTTransformer,10,-3,1,0.537,0.015775927227262426
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.606,0.015459721957493382
CatBoost,10,-3,4,0.625,0.015316971293620996
R_Forest,10,-3,4,0.63,0.015275252316519466
KNN,10,-3,4,0.597,0.015518757419066515
FTTransformer,10,-3,4,0.634,0.0152406127264056
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.525,0.01579951342999602
CatBoost,10,-3,2,0.576,0.015635487471405182
R_Forest,10,-3,2,0.567,0.015676630912181255
KNN,10,-3,2,0.564,0.015689173023144022
FTTransformer,10,-3,2,0.578,0.015625625112620622
