Model,num_rows,num_cols,acc,std
LR,10,-3,0.62,0.015356947477797658
CatBoost,10,-3,0.634,0.0152406127264056
R_Forest,10,-3,0.598,0.015512467135714959
KNN,10,-3,0.658,0.015008706182121804
FTTransformer,10,-3,0.62,0.015356947477797658
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.719,0.014221154708434942
CatBoost,10,-3,5,0.664,0.014944140233794895
R_Forest,10,-3,5,0.716,0.014267009061031241
KNN,10,-3,5,0.694,0.0145800060554369
FTTransformer,10,-3,5,0.696,0.014553205687950535
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.678,0.014782913600996744
CatBoost,10,-3,3,0.645,0.015139491543780595
R_Forest,10,-3,3,0.663,0.01495508791865346
KNN,10,-3,3,0.679,0.014770821817934751
FTTransformer,10,-3,3,0.684,0.014709193056057166
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.518,0.01580904569940659
CatBoost,10,-3,1,0.548,0.01574623586588058
R_Forest,10,-3,1,0.522,0.01580397942816194
KNN,10,-3,1,0.593,0.015543249100255476
FTTransformer,10,-3,1,0.555,0.015723301886761007
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.692,0.01460648312734278
CatBoost,10,-3,4,0.66,0.014987482264363973
R_Forest,10,-3,4,0.688,0.014658474370509057
KNN,10,-3,4,0.691,0.014619600977206347
FTTransformer,10,-3,4,0.682,0.014734079309311905
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.62,0.015356947477797658
CatBoost,10,-3,2,0.634,0.0152406127264056
R_Forest,10,-3,2,0.598,0.015512467135714959
KNN,10,-3,2,0.658,0.015008706182121804
FTTransformer,10,-3,2,0.62,0.015356947477797658
