Model,num_rows,num_cols,acc,std
LR,10,-3,0.646,0.015129868238451812
CatBoost,10,-3,0.603,0.015480007449307982
R_Forest,10,-3,0.601,0.01549319331316301
KNN,10,-3,0.638,0.015204840912919385
FTTransformer,10,-3,0.619,0.01536473478700739
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.754,0.013626065817750539
CatBoost,10,-3,5,0.72,0.014205696104091546
R_Forest,10,-3,5,0.734,0.013979965645145177
KNN,10,-3,5,0.717,0.01425181090648182
FTTransformer,10,-3,5,0.724,0.014142984975740588
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.697,0.014539683710535193
CatBoost,10,-3,3,0.648,0.01511040450564856
R_Forest,10,-3,3,0.648,0.01511040450564856
KNN,10,-3,3,0.67,0.014876872027456621
FTTransformer,10,-3,3,0.673,0.014842213153411162
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.581,0.015610338967577953
CatBoost,10,-3,1,0.564,0.015689173023144022
R_Forest,10,-3,1,0.543,0.0157606915901365
KNN,10,-3,1,0.604,0.015473313265859495
FTTransformer,10,-3,1,0.553,0.0157301760460091
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.715,0.01428212095520056
CatBoost,10,-3,4,0.674,0.014830507204541049
R_Forest,10,-3,4,0.673,0.014842213153411162
KNN,10,-3,4,0.689,0.014645596385722692
FTTransformer,10,-3,4,0.694,0.0145800060554369
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.646,0.015129868238451812
CatBoost,10,-3,2,0.603,0.015480007449307982
R_Forest,10,-3,2,0.601,0.01549319331316301
KNN,10,-3,2,0.638,0.015204840912919385
FTTransformer,10,-3,2,0.619,0.01536473478700739
