Model,num_rows,num_cols,acc,std
LR,10,-3,0.721,0.014190150117611877
CatBoost,10,-3,0.742,0.013842963108656603
R_Forest,10,-3,0.697,0.014539683710535193
KNN,10,-3,0.758,0.013550631705556005
FTTransformer,10,-3,0.762,0.013473586661967091
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.812,0.012361586015103758
CatBoost,10,-3,5,0.792,0.01284137457209706
R_Forest,10,-3,5,0.813,0.012336254828074168
KNN,10,-3,5,0.792,0.01284137457209706
FTTransformer,10,-3,5,0.798,0.01270265158765513
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.782,0.013063179040595237
CatBoost,10,-3,3,0.785,0.012997843819031832
R_Forest,10,-3,3,0.786,0.012975838021968847
KNN,10,-3,3,0.773,0.013253174964763975
FTTransformer,10,-3,3,0.799,0.012679107214617276
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.575,0.01564032031704017
CatBoost,10,-3,1,0.631,0.015266698139154782
R_Forest,10,-3,1,0.581,0.015610338967577953
KNN,10,-3,1,0.675,0.014818724459095479
FTTransformer,10,-3,1,0.676,0.014806864733738986
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.806,0.012510816141264348
CatBoost,10,-3,4,0.784,0.013019735539307761
R_Forest,10,-3,4,0.797,0.01272607374459825
KNN,10,-3,4,0.784,0.013019735539307761
FTTransformer,10,-3,4,0.784,0.013019735539307761
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.721,0.014190150117611877
CatBoost,10,-3,2,0.742,0.013842963108656603
R_Forest,10,-3,2,0.697,0.014539683710535193
KNN,10,-3,2,0.758,0.013550631705556005
FTTransformer,10,-3,2,0.762,0.013473586661967091
