Model,num_rows,num_cols,acc,std
LR,10,-3,0.621,0.015349091002225332
CatBoost,10,-3,0.625,0.015316971293620996
R_Forest,10,-3,0.565,0.015685057252717346
KNN,10,-3,0.735,0.013963164754810065
FTTransformer,10,-3,0.66,0.014987482264363973
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.759,0.01353152253451555
CatBoost,10,-3,5,0.713,0.014312087053810001
R_Forest,10,-3,5,0.761,0.013493000446937704
KNN,10,-3,5,0.787,0.012953717566737313
FTTransformer,10,-3,5,0.806,0.012510816141264348
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.709,0.014370995982378032
CatBoost,10,-3,3,0.7,0.014498627873361335
R_Forest,10,-3,3,0.678,0.014782913600996744
KNN,10,-3,3,0.772,0.013273740700804434
FTTransformer,10,-3,3,0.748,0.01373625439065121
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.537,0.015775927227262426
CatBoost,10,-3,1,0.532,0.015786868759359005
R_Forest,10,-3,1,0.521,0.015805341148131185
KNN,10,-3,1,0.676,0.014806864733738986
FTTransformer,10,-3,1,0.577,0.015630589090476255
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.734,0.013979965645145179
CatBoost,10,-3,4,0.73,0.01404625563263382
R_Forest,10,-3,4,0.725,0.014127086556490498
KNN,10,-3,4,0.786,0.012975838021968847
FTTransformer,10,-3,4,0.773,0.013253174964763975
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.621,0.015349091002225332
CatBoost,10,-3,2,0.625,0.015316971293620996
R_Forest,10,-3,2,0.565,0.015685057252717346
KNN,10,-3,2,0.735,0.013963164754810065
FTTransformer,10,-3,2,0.66,0.014987482264363973
