Model,num_rows,num_cols,acc,std
LR,10,-3,0.804,0.012559527926707345
CatBoost,10,-3,0.776,0.013190830072364589
R_Forest,10,-3,0.771,0.013294199326613682
KNN,10,-3,0.817,0.012233587399477745
FTTransformer,10,-3,0.868,0.010709373963527965
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.918,0.00868051561552373
CatBoost,10,-3,5,0.913,0.008916866630745944
R_Forest,10,-3,5,0.915,0.008823426366942317
KNN,10,-3,5,0.852,0.011234866364235145
FTTransformer,10,-3,5,0.926,0.0082820645127041
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.836,0.011715000693181423
CatBoost,10,-3,3,0.843,0.011510146979230262
R_Forest,10,-3,3,0.833,0.011800434324644593
KNN,10,-3,3,0.795,0.012772554096113203
FTTransformer,10,-3,3,0.903,0.009363689373248062
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.643,0.015158521721486589
CatBoost,10,-3,1,0.62,0.015356947477797658
R_Forest,10,-3,1,0.526,0.015797897758042797
KNN,10,-3,1,0.765,0.013414729030247124
FTTransformer,10,-3,1,0.626,0.015308767369006507
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.909,0.009099549538400338
CatBoost,10,-3,4,0.884,0.010131468138756924
R_Forest,10,-3,4,0.908,0.009144376393151129
KNN,10,-3,4,0.845,0.01145015747079952
FTTransformer,10,-3,4,0.935,0.007799733061832043
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.804,0.012559527926707345
CatBoost,10,-3,2,0.776,0.013190830072364589
R_Forest,10,-3,2,0.771,0.013294199326613682
KNN,10,-3,2,0.817,0.012233587399477745
FTTransformer,10,-3,2,0.868,0.010709373963527965
