Model,num_rows,num_cols,acc,std
LR,10,-3,0.498,0.01581917337430266
CatBoost,10,-3,0.475,0.01579951342999602
R_Forest,10,-3,0.487,0.01581395210189664
KNN,10,-3,0.478,0.01580397942816194
FTTransformer,10,-3,0.473,0.01579621855130273
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.477,0.015802554246726087
CatBoost,10,-3,5,0.473,0.01579621855130273
R_Forest,10,-3,5,0.46,0.0157685969143944
KNN,10,-3,5,0.435,0.015685057252717346
FTTransformer,10,-3,5,0.484,0.015811198373114985
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.491,0.015816736995005295
CatBoost,10,-3,3,0.483,0.015810153729833274
R_Forest,10,-3,3,0.494,0.015818160898606833
KNN,10,-3,3,0.45,0.01574000469338392
FTTransformer,10,-3,3,0.472,0.015794475789511517
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.495,0.015818508944436743
CatBoost,10,-3,1,0.48,0.015806639423035177
R_Forest,10,-3,1,0.483,0.015810153729833274
KNN,10,-3,1,0.48,0.015806639423035177
FTTransformer,10,-3,1,0.484,0.015811198373114985
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.486,0.015813097547730935
CatBoost,10,-3,4,0.473,0.01579621855130273
R_Forest,10,-3,4,0.478,0.01580397942816194
KNN,10,-3,4,0.453,0.015749255189977683
FTTransformer,10,-3,4,0.465,0.015780495050030086
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.498,0.01581917337430266
CatBoost,10,-3,2,0.475,0.01579951342999602
R_Forest,10,-3,2,0.487,0.01581395210189664
KNN,10,-3,2,0.478,0.01580397942816194
FTTransformer,10,-3,2,0.473,0.01579621855130273
