Model,num_rows,num_cols,acc,std
LR,10,-3,0.504,0.015818793703510844
CatBoost,10,-3,0.497,0.015819015179246818
R_Forest,10,-3,0.511,0.01581547119529257
KNN,10,-3,0.506,0.015818160898606833
FTTransformer,10,-3,0.517,0.015810153729833274
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.48,0.015806639423035177
CatBoost,10,-3,5,0.508,0.015817274929209084
R_Forest,10,-3,5,0.512,0.01581474331458169
KNN,10,-3,5,0.513,0.01581395210189664
FTTransformer,10,-3,5,0.51,0.015816135752773183
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.524,0.015801065586651862
CatBoost,10,-3,3,0.512,0.01581474331458169
R_Forest,10,-3,3,0.511,0.015815471195292575
KNN,10,-3,3,0.511,0.01581547119529257
FTTransformer,10,-3,3,0.512,0.01581474331458169
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.482,0.01580904569940659
CatBoost,10,-3,1,0.485,0.01581217964181488
R_Forest,10,-3,1,0.491,0.015816736995005295
KNN,10,-3,1,0.474,0.0157978977580428
FTTransformer,10,-3,1,0.478,0.01580397942816194
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.493,0.01581774956184353
CatBoost,10,-3,4,0.528,0.015794475789511517
R_Forest,10,-3,4,0.519,0.015807874268505835
KNN,10,-3,4,0.51,0.015816135752773183
FTTransformer,10,-3,4,0.506,0.015818160898606833
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.504,0.015818793703510844
CatBoost,10,-3,2,0.497,0.015819015179246818
R_Forest,10,-3,2,0.511,0.01581547119529257
KNN,10,-3,2,0.506,0.015818160898606833
FTTransformer,10,-3,2,0.517,0.015810153729833274
