Model,num_rows,num_cols,acc,std
LR,10,-3,0.669,0.0148882725882038
CatBoost,10,-3,0.767,0.013374972519219989
R_Forest,10,-3,0.712,0.014326941797231577
KNN,10,-3,0.76,0.013512312258920845
FTTransformer,10,-3,0.746,0.01377220656516862
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.83,0.011884495834541793
CatBoost,10,-3,5,0.892,0.009820001651345708
R_Forest,10,-3,5,0.869,0.0106748748448379
KNN,10,-3,5,0.857,0.011075814808567074
FTTransformer,10,-3,5,0.85,0.011297239823409416
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.774,0.013232501619085452
CatBoost,10,-3,3,0.849,0.011328165223341657
R_Forest,10,-3,3,0.803,0.012583693787968198
KNN,10,-3,3,0.812,0.012361586015103758
FTTransformer,10,-3,3,0.806,0.012510816141264348
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.577,0.015630589090476255
CatBoost,10,-3,1,0.615,0.015395194445410945
R_Forest,10,-3,1,0.579,0.015620595475301287
KNN,10,-3,1,0.684,0.014709193056057166
FTTransformer,10,-3,1,0.677,0.014794927843348538
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.825,0.012021627157732001
CatBoost,10,-3,4,0.86,0.010978183844357888
R_Forest,10,-3,4,0.858,0.011043457699378305
KNN,10,-3,4,0.843,0.011510146979230262
FTTransformer,10,-3,4,0.831,0.011856625977890152
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.669,0.0148882725882038
CatBoost,10,-3,2,0.767,0.013374972519219989
R_Forest,10,-3,2,0.712,0.014326941797231577
KNN,10,-3,2,0.76,0.013512312258920845
FTTransformer,10,-3,2,0.746,0.01377220656516862
