Model,num_rows,num_cols,acc,std
LR,10,-3,0.526,0.0157978977580428
CatBoost,10,-3,0.531,0.015788865959538965
R_Forest,10,-3,0.535,0.015780495050030086
KNN,10,-3,0.533,0.015784807891138876
FTTransformer,10,-3,0.529,0.015792669451628764
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.596,0.015524980677122439
CatBoost,10,-3,5,0.572,0.015654426245029267
R_Forest,10,-3,5,0.573,0.01564978964446219
KNN,10,-3,5,0.611,0.01542455564730851
FTTransformer,10,-3,5,0.592,0.015549205052920803
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.565,0.015685057252717346
CatBoost,10,-3,3,0.532,0.015786868759359005
R_Forest,10,-3,3,0.548,0.01574623586588058
KNN,10,-3,3,0.562,0.015697210019694662
FTTransformer,10,-3,3,0.552,0.01573351656634789
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.531,0.015788865959538965
CatBoost,10,-3,1,0.536,0.015778243024904673
R_Forest,10,-3,1,0.53,0.015790799515836722
KNN,10,-3,1,0.553,0.0157301760460091
FTTransformer,10,-3,1,0.524,0.015801065586651862
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.566,0.01568087656637504
CatBoost,10,-3,4,0.549,0.015743152379585443
R_Forest,10,-3,4,0.543,0.0157606915901365
KNN,10,-3,4,0.572,0.015654426245029267
FTTransformer,10,-3,4,0.572,0.015654426245029267
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.526,0.0157978977580428
CatBoost,10,-3,2,0.531,0.015788865959538965
R_Forest,10,-3,2,0.535,0.015780495050030086
KNN,10,-3,2,0.533,0.015784807891138876
FTTransformer,10,-3,2,0.529,0.015792669451628764
