Model,num_rows,num_cols,acc,std
LR,10,-3,0.711,0.014341711358296287
CatBoost,10,-3,0.675,0.014818724459095479
R_Forest,10,-3,0.649,0.015100563798316506
KNN,10,-3,0.735,0.013963164754810065
FTTransformer,10,-3,0.723,0.014158794845306272
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.819,0.012181436179178025
CatBoost,10,-3,5,0.755,0.01360735683959821
R_Forest,10,-3,5,0.791,0.012864077288499339
KNN,10,-3,5,0.794,0.012795613612786522
FTTransformer,10,-3,5,0.769,0.013334797216936475
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.775,0.013211720158614833
CatBoost,10,-3,3,0.749,0.013718133516888775
R_Forest,10,-3,3,0.735,0.013963164754810065
KNN,10,-3,3,0.774,0.013232501619085452
FTTransformer,10,-3,3,0.759,0.01353152253451555
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.586,0.01558354410417755
CatBoost,10,-3,1,0.593,0.015543249100255476
R_Forest,10,-3,1,0.541,0.015766025737882314
KNN,10,-3,1,0.678,0.014782913600996744
FTTransformer,10,-3,1,0.628,0.015292149942040518
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.824,0.012048616898597498
CatBoost,10,-3,4,0.768,0.013354937452281624
R_Forest,10,-3,4,0.782,0.013063179040595235
KNN,10,-3,4,0.784,0.013019735539307761
FTTransformer,10,-3,4,0.781,0.013084731950262114
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.711,0.014341711358296287
CatBoost,10,-3,2,0.675,0.014818724459095479
R_Forest,10,-3,2,0.649,0.015100563798316506
KNN,10,-3,2,0.735,0.013963164754810065
FTTransformer,10,-3,2,0.723,0.014158794845306272
