Model,num_rows,num_cols,acc,std
LR,10,-3,0.499,0.015819268290576817
CatBoost,10,-3,0.481,0.015807874268505835
R_Forest,10,-3,0.484,0.015811198373114985
KNN,10,-3,0.518,0.01580904569940659
FTTransformer,10,-3,0.49,0.015816135752773183
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,5,0.499,0.015819268290576817
CatBoost,10,-3,5,0.489,0.01581547119529257
R_Forest,10,-3,5,0.493,0.01581774956184353
KNN,10,-3,5,0.499,0.015819268290576817
FTTransformer,10,-3,5,0.488,0.01581474331458169
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,3,0.525,0.01579951342999602
CatBoost,10,-3,3,0.509,0.015816736995005295
R_Forest,10,-3,3,0.533,0.015784807891138876
KNN,10,-3,3,0.5,0.015819299929208316
FTTransformer,10,-3,3,0.513,0.01581395210189664
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,1,0.513,0.01581395210189664
CatBoost,10,-3,1,0.51,0.015816135752773183
R_Forest,10,-3,1,0.508,0.015817274929209084
KNN,10,-3,1,0.506,0.015818160898606833
FTTransformer,10,-3,1,0.52,0.015806639423035177
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,4,0.523,0.015802554246726087
CatBoost,10,-3,4,0.518,0.01580904569940659
R_Forest,10,-3,4,0.501,0.015819268290576817
KNN,10,-3,4,0.521,0.015805341148131185
FTTransformer,10,-3,4,0.503,0.015819015179246818
Model,num_rows,num_cols,num_1s,acc,std
LR,10,-3,2,0.499,0.015819268290576817
CatBoost,10,-3,2,0.481,0.015807874268505835
R_Forest,10,-3,2,0.484,0.015811198373114985
KNN,10,-3,2,0.518,0.01580904569940659
FTTransformer,10,-3,2,0.49,0.015816135752773183
